idd: 88, Name: Col Sant'Angelo, Height: 1775
idd: 101, Name: Sattele (Haimingjoch), Height: 1690
idd: 118, Name: Col de la Ramaz, Height: 1619
idd: 128, Name: Pillerhöhe, Height: 1600
idd: 129, Name: Col de l'Arpettaz, Height: 1581
idd: 131, Name: Les Agites (Hongrin), Height: 1557
idd: 133, Name: Lenzerheide (Parpan Höhe), Height: 1547
idd: 136, Name: Col du Chaussy, Height: 1533
idd: 138, Name: Passo Cimabanche, Height: 1530
idd: 139, Name: Passo Cibiana, Height: 1530
idd: 140, Name: Kartitscher Sattel, Height: 1530
idd: 144, Name: Col du Chasseral, Height: 1502
idd: 145, Name: Col du Grand Colombier, Height: 1501
idd: 146, Name: Col Saint Martin, Height: 1500
idd: 149, Name: Passo San Antonio, Height: 1489
idd: 150, Name: Col des Aravis, Height: 1487
idd: 152, Name: Col de la Croix Fry, Height: 1477
idd: 157, Name: Passo Redebus, Height: 1455
idd: 159, Name: Col du Marchairuz, Height: 1449
idd: 160, Name: Col des Mosses, Height: 1445
idd: 161, Name: Col de Bleine, Height: 1439
idd: 162, Name: Col de la Sinne, Height: 1438
idd: 164, Name: Col de l'Encrenaz, Height: 1433
idd: 169, Name: Norbertshöhe, Height: 1405
idd: 171, Name: Col de Menée, Height: 1402
idd: 172, Name: Les Moulins, Height: 1400
idd: 173, Name: Forcella di Brez, Brezer Joch, Height: 1397
idd: 177, Name: Col de Parquetout, Height: 1382
idd: 178, Name: Colle Caprauna, Height: 1375
idd: 179, Name: Namlospass, Height: 1373
idd: 180, Name: Col d'Ornon, Height: 1371
idd: 183, Name: Pas de Morgins, Height: 1369
idd: 184, Name: Col de Saint Barnabé, Height: 1365
idd: 186, Name: Grenchenberg, Height: 1361
idd: 188, Name: Col de l'Allimas, Height: 1352
idd: 189, Name: Col de Maure, Height: 1346
idd: 192, Name: Le Borbieu, Height: 1338
idd: 194, Name: Col de la Chau, Height: 1337
idd: 195, Name: Col des Pitons, Height: 1335
idd: 196, Name: Col Saint Jean près Montclar, Height: 1332
idd: 197, Name: Col de Porte, Height: 1326
idd: 198, Name: Col du Grand Ballon, Grosser Belchen, Height: 1325
idd: 199, Name: Col de la Biche, Height: 1325
idd: 200, Name: Col de la Faucille, Height: 1323
idd: 201, Name: Col des Fillys, Height: 1322
idd: 202, Name: Col de Grimone, Height: 1318
idd: 204, Name: Col de la Bataille, Height: 1313
idd: 206, Name: Le Soliat, Height: 1310
idd: 207, Name: Col Font-Belle, Height: 1304
idd: 208, Name: Col de Pontis, Height: 1301
idd: 209, Name: Passo Daone, Height: 1300
idd: 211, Name: Schwägalppass, Height: 1300
idd: 212, Name: Forcella Aurine, Height: 1299
idd: 213, Name: Passo della Mauria, Height: 1298
idd: 216, Name: Mont Saleve, Height: 1295
idd: 217, Name: Col de l'Aiguillon, Height: 1293
idd: 218, Name: Cima di Sappada, Height: 1292
idd: 219, Name: Monte Beigua, Height: 1287
idd: 220, Name: La Vue des Alpes, Height: 1283
idd: 221, Name: Weissenstein, Height: 1279
idd: 222, Name: Saanenmöser, Height: 1279


idd: 225, Name: La Ronde Noire, Height: 1264
idd: 226, Name: Col de Landoz-Neuve, Height: 1260
idd: 227, Name: Bucher Höhe, Height: 1259
idd: 229, Name: Col de Rousset, Height: 1254
idd: 230, Name: Passo Predaia, Height: 1250
idd: 233, Name: Passo di Correboi, Height: 1249
idd: 234, Name: Passo di Tascusì, Height: 1248
idd: 235, Name: Col du Castellaras, Height: 1248
idd: 236, Name: Col Bayard, Height: 1246
idd: 237, Name: Col de l'Avernaz, Height: 1245
idd: 238, Name: Col Charamel, Height: 1242
idd: 239, Name: Col du Labouret, Height: 1240
idd: 240, Name: Col d'Hysope, Height: 1236
idd: 241, Name: Alpe Colle, Height: 1233
idd: 243, Name: Col de la Givrine, Height: 1232
idd: 244, Name: Col du Corbier, Height: 1230
idd: 246, Name: Col du Mont Crosin, Height: 1227
idd: 247, Name: Sella di Dobbiaco, Toblacher Sattel, Height: 1226
idd: 248, Name: Col de Saint-Alexis, Height: 1222
idd: 249, Name: Col des Deux, Height: 1220
idd: 250, Name: Col de la Croix-Perrin, Height: 1220
idd: 251, Name: Col de Bavella, Bocca di Bavedda, Height: 1218
idd: 252, Name: Col de Carri, Height: 1215
idd: 253, Name: Col du Corobin, Height: 1211
idd: 255, Name: Col de l'Holme, Height: 1208
idd: 257, Name: Col di Rocca, Height: 1203
idd: 260, Name: Col Bas, Height: 1199
idd: 261, Name: Col du Prayet, Height: 1197
idd: 262, Name: Col de la Vaccia, Height: 1196
idd: 264, Name: Col du Grand Cucheron, Height: 1188
idd: 265, Name: Col du Mollendruz, Height: 1184
idd: 266, Name: Le Markstein, Height: 1183
idd: 267, Name: Col du Platzerwasel, Height: 1183
idd: 269, Name: Col de Cuvéry, Height: 1178
idd: 273, Name: Col de la Portette, Height: 1175
idd: 274, Name: Col de la Croisette, Height: 1175
idd: 275, Name: Col de Plainpalais, Height: 1173
idd: 276, Name: Col des Gets, Height: 1172
idd: 278, Name: Col de Valferrière, Height: 1169
idd: 279, Name: Schallenberg, Height: 1167
idd: 280, Name: Col de la Tourne, Height: 1166
idd: 281, Name: Col du Ballon d'Alsace, Height: 1165
idd: 283, Name: Focce di Vizzavona, Height: 1163
idd: 284, Name: Col des Arces, Height: 1162
idd: 285, Name: Col de Palaquit, Height: 1154
idd: 286, Name: Col de l'Arzelier, Height: 1154
idd: 287, Name: Col des Etroits, Height: 1153
idd: 288, Name: Colle d'Oggia, Height: 1149
idd: 289, Name: Col de Lèques, Height: 1148
idd: 290, Name: Gottschalkenberg, Height: 1148
idd: 291, Name: Col de l'Écharasson, Height: 1146
idd: 292, Name: Col de Tourniol, Height: 1145
idd: 293, Name: Lüderenalp, Height: 1144
idd: 294, Name: Col des Prés, Height: 1142
idd: 296, Name: Col du Cucheron, Height: 1140
idd: 298, Name: Col de la Schlucht, Height: 1139
idd: 300, Name: Col du Granier, Height: 1134
idd: 301, Name: Col du Calvaire, Height: 1134
idd: 302, Name: Colle del Quazzo, Height: 1130
idd: 304, Name: Rossalmig (Cholerhöchi), Height: 1123
idd: 306, Name: Passo di Caravai, Height: 1120
idd: 307, Name: Holzleitnersattel, Height: 1120
idd: 308, Name: Col de Mézilhac, Height: 1119
idd: 310, Name: Col du Feu, Height: 1117
idd: 311, Name: Col de Cou, Height: 1116
idd: 312, Name: Col de Champlaurent, Height: 1116
idd: 313, Name: Col des Moises, Height: 1115
